"Result  :  Query Result"
"Save Time: 03/01/2019 13:32:49"

"User Name:xli"

"Total 27,350   Records"

"Start Time","Period","NE Name","ABCF SIP ACCESS NETWORK","Audio Codec EVS Conversions (times)","Audio Codec EVS Transparent Transmissions (times)","Wideband Codec Conversions Between EVS and AMR (times)","Wideband Codec Conversions Between EVS and AMR-WB (times)","Wideband Codec Conversions Between EVS and EVS (times)","Wideband Codec Conversions Between EVS and G.722 (times)","Wideband Codec Conversions Between EVS and G.723 (times)","Wideband Codec Conversions Between EVS and G.729 (times)","Wideband Codec Conversions Between EVS and iLBC (times)","Wideband Codec Conversions Between EVS and PCMA (times)","Wideband Codec Conversions Between EVS and PCMU (times)"
02/01/2019 02:45:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",14,0,0,14,0,0,0,0,0,0,0
02/01/2019 02:45:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,50,0,0,0,0,0,0,0,0,0
02/01/2019 02:45:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",2,0,0,2,0,0,0,0,0,0,0
02/01/2019 02:45:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,52,0,0,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",4,0,0,4,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,82,0,0,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",2,0,0,2,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,47,0,0,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",4,0,0,4,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,24,0,0,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",6,0,0,6,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,68,0,0,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",8,0,0,8,0,0,0,0,0,0,0
02/01/2019 03:00:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,47,0,0,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",12,0,0,12,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,68,0,0,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",8,0,0,8,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,50,0,0,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",5,0,0,5,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,29,0,0,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",8,0,0,8,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,135,0,0,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",10,0,0,10,0,0,0,0,0,0,0
02/01/2019 03:15:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,51,0,0,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",16,0,0,16,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,131,0,0,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",2,0,0,2,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,53,0,0,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",8,0,0,8,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,49,0,0,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",10,0,0,10,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,81,0,0,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",10,0,0,10,0,0,0,0,0,0,0
02/01/2019 03:30:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,63,0,0,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",9,0,0,9,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,83,0,0,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",5,0,0,5,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,65,0,0,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",12,0,2,10,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,60,0,0,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",4,0,0,4,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,63,0,0,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",10,0,0,10,0,0,0,0,0,0,0
02/01/2019 03:45:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,55,0,0,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",29,0,0,29,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,128,0,0,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",11,0,0,11,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,62,0,0,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",2,0,0,2,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,58,0,0,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",8,0,0,8,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,68,0,0,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",13,0,0,13,0,0,0,0,0,0,0
02/01/2019 04:00:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,87,0,0,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",28,0,0,28,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"rn2imsbc031","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,104,0,0,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"ofbh1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",8,0,0,8,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"ofbh1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,83,0,0,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"lpzg1imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",12,0,0,12,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"lpzg1imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,110,0,0,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"hmbg6imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",12,0,0,12,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"hmbg6imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,81,0,0,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"mnch4imsbc007","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",6,0,0,6,0,0,0,0,0,0,0
02/01/2019 04:15:00,15,"mnch4imsbc007","Access network ID=2, Access network name=SIPAN, Entity ID=0",0,100,0,0,0,0,0,0,0,0,0
02/01/2019 04:30:00,15,"rn2imsbc031","Access network ID=1, Access network name=SIPAN_ATCF, Entity ID=0",21,0,0,21,0,0,0,0,0,0,0
